__v,_id,active,altNames,createdAt,growthRate24,growthRate48,growthRate72,last24hours,last48hours,metadata.name,metadata.symbol,previousWeek,score,strictNameCheck,thisWeek,week
0,609adad59337756c0f686046,true,[],2021-05-11T19:28:21.921Z,0,0,0,0,0,CF Acquisition Corp. IV Warrant,CFIVW,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad59337756c0f686047,true,[],2021-05-11T19:28:21.952Z,100,100,100,1,1,Conformis Inc. Common Stock,CFMS,0,24.620689655172413,false,1,"[1,0,0,0,0,0,0]"
0,609adad59337756c0f686048,true,[],2021-05-11T19:28:21.988Z,0,0,0,0,0,ContraFect Corporation Common Stock,CFRX,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad69337756c0f686049,true,[],2021-05-11T19:28:22.026Z,0,0,0,0,0,CF Acquisition Corp. V Class A Common Stock,CFV,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad69337756c0f68604a,true,[],2021-05-11T19:28:22.064Z,0,0,0,0,0,CF Acquisition Corp. VI Class A Common Stock,CFVI,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad69337756c0f68604b,true,[],2021-05-11T19:28:22.097Z,0,0,0,0,0,CF Acquisition Corp. VI Unit,CFVIU,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad69337756c0f68604c,true,[],2021-05-11T19:28:22.801Z,0,0,0,0,0,CF Acquisition Corp. VI Warrant,CFVIW,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad69337756c0f68604d,true,[],2021-05-11T19:28:22.845Z,300,300,300,3,3,The Carlyle Group Inc. Common Stock,CG,0,73.86206896551724,false,3,"[3,0,0,0,0,0,0]"
0,609adad69337756c0f68604e,true,[],2021-05-11T19:28:22.885Z,0,0,0,0,0,TCG BDC Inc. Common Stock,CGBD,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad69337756c0f68604f,true,[],2021-05-11T19:28:22.925Z,500,500,500,5,5,Canopy Growth Corporation Common Shares,CGC,0,123.10344827586206,false,5,"[5,0,0,0,0,0,0]"
0,609adad69337756c0f686050,true,[],2021-05-11T19:28:22.956Z,0,0,0,0,0,Cullinan Oncology Inc. Common Stock,CGEM,0,0,false,0,"[0,0,0,0,0,0,0]"
0,609adad69337756c0f686051,true,[],2021-05-11T19:28:22.989Z,0,0,0,0,0,Compugen Ltd. Ordinary Shares,CGEN,0,0,false,0,"[0,0,0,0,0,0,0]"
